Embedding Model,Num Classes,Samples,Accuracy,F1 Score Macro,Precision Macro,Recall Macro,Latency per image (ms),Outlier Rate
dinov3_small_gap,70,2863,0.32552397445378567,0.28591821560522324,0.308662800897337,0.30305470732279866,141.6622879364848,0.03072057518964193
dinov3_small_gap,91,3674,0.2950462710941753,0.25717309447885106,0.28053001937217015,0.27656309137214463,141.66303160267532,0.028851388132825263
dinov3_base_gap,5,211,0.8608979615739025,0.8592235364493088,0.8620407157746545,0.8726294276539951,484.6386842610756,0.11361792407279836
dinov3_base_gap,10,422,0.7505375563402238,0.7092333209901801,0.7120486564547587,0.727969915782011,484.6371812831515,0.10371717379846583
dinov3_base_gap,20,805,0.6861840104730368,0.6547673701779348,0.6795445566982582,0.6626493225552557,484.6358437531464,0.09248527510126356
dinov3_base_gap,30,1203,0.6357307114599766,0.5858297966040634,0.6122860719892086,0.5881739787630036,484.63590783224555,0.07522949926440127
dinov3_base_gap,50,1976,0.5572296617551835,0.5143164191623251,0.5434556979863243,0.516562850841978,484.6360367549769,0.06533609330432762
dinov3_base_gap,70,2801,0.4802171161347385,0.43935071595541625,0.47074026432613847,0.4465155879109061,484.6359789179407,0.05713015378500551
dinov3_base_gap,91,3674,0.4578116494284159,0.4167236602955472,0.44792980311928937,0.42341857678523914,484.6360230833778,0.05389221556886228
siglip_base,5,215,0.9401787974560205,0.92393411607047,0.9279642510521164,0.933764650715091,473.4090021898457,0.09491027346166256
siglip_base,10,388,0.871363481017012,0.8503020741150383,0.8703019075944125,0.8429170289930719,473.4076349692631,0.09516179113765369
siglip_base,20,770,0.8069998704028285,0.7538499187803941,0.7662879048199837,0.766287959810326,473.40437935517264,0.08482137195648429
siglip_base,30,1275,0.746944270644588,0.7110546745761115,0.7361674926984194,0.7161298991572431,473.4043233040288,0.07572812648876859
siglip_base,50,1998,0.7115862739416938,0.6817738447398131,0.7120549072110982,0.6791194891244322,473.4047130748819,0.0687696134395818
siglip_base,70,2877,0.6578280253972324,0.6271863529703228,0.6578311676182641,0.6298286570404907,473.40482017898404,0.06386895950268712
siglip_base,91,3674,0.625748502994012,0.5906347008631587,0.6273466360747895,0.5908222126348105,473.4054589923382,0.060152422427871534
siglip_so400m,5,199,0.9553226448906708,0.9187136237078428,0.9255742153980353,0.944057494884398,7630.464664964697,0.13147501366327902
siglip_so400m,10,385,0.9360605679932241,0.8721561475487736,0.8832786480090654,0.8690172850069156,7630.458914256931,0.10198508273056424
